title,price,condition,review,city,date,href
"MacBook Pro 13"" 2017 128 SSD 8 GB RAM 72 įkrovimai",749 €,Būklė: naudota,"Kaip naujas Macbook Pro 13"" 2017
A1708
Tik 72 įkrovimai
128 SSD 
8 GB Ram
Būklė 9.8/10

Papildomai pridėsiu aliuminį TYPE-C  7 in 1 HDMI Type C USB3 SD r MicroSD adapterį

KEITIMAI NEDOMINA

864399988

Kaina 749","Vilnius, ...",prieš 7 val.,https://skelbiu.lt//skelbimai/macbook-pro-13-2017-128-ssd-8-gb-ram-72-ikrovimai-50814921.html
Perkame/superkame naujus MacBook kompiuterius,920 €,Būklė: nauja,"Perkame/superkame naujus MacBook kompiuterius, domina visi modeliai, galime nupirkti didesni kieki.

Tai pat perkame ir kita Apple produkcija","Kaunas, ...",prieš 8 val.,https://skelbiu.lt//skelbimai/perkame-superkame-naujus-macbook-kompiuterius-56128631.html
Naujas supakuotas MacBook Air M1 8/256gb,920 €,Būklė: nauja,"Visiskai naujas gamykliskai supakuotas ir nenaudotas Apple MacBook Air M1 8/256gb silver, kompiuteriui galioja tarptautine 12menesiu garantija","Kaunas, ...",prieš 8 val.,https://skelbiu.lt//skelbimai/naujas-supakuotas-macbook-air-m1-8-256gb-56862207.html
Apple MacBook Air A1369 Dalimis,99 €,Būklė: naudota,"Dalimis
Apple MacBook Air A1369 (13-inch, Mid 2010)",Vilnius,prieš 8 val.,https://skelbiu.lt//skelbimai/apple-macbook-air-a1369-dalimis-55568565.html
MacBook pro 13 2015,450 €,Būklė: naudota,"Mylėtas ir prižiūrėtas MacBook pro žmonos ,įsigijo nauja parduodame su originaliu pakrovėju.Visi duomenys nuotraukose",Kaunas,prieš 8 val.,https://skelbiu.lt//skelbimai/macbook-pro-13-2015-56401745.html
MacBook Pro 13 Inch 2015,400 €,Būklė: naudota,"Parduodu gerai prižiurėtą ir saugotą kompiuterį. Vienintelis šio kompiuterio defektas - nedidelis įlenkimas kairiajame kompiuterio šone, kuris beveik nesimato (nuotrauka įdėta). Kompiuteris parduodamas pilna komplektacija (su pakrovėju).
...",Vilnius,prieš 8 val.,https://skelbiu.lt//skelbimai/macbook-pro-13-inch-2015-56219105.html
MacBook Air,200 €,Būklė: naudota,"Parduodamas prižiūrėtas bei mylėtas Macbook Air (A1369). Kompiuteris puikaus stovio, yra keli minimalus, vos matomi įbrėžimai ant dugno. Šis kompiuteris puikiai tiks mokslams, darbui ar pradžiamoksliui naudojantis Apple kompiuteriu. Prie...","Kaunas, ...",prieš 8 val.,https://skelbiu.lt//skelbimai/macbook-air-56814575.html
Apple MacBook Pro 15,250 €,Būklė: naudota,"Veikia gerai, naujai perinstaliuotas, baterija laiko ilgai.",Kaunas,prieš 8 val.,https://skelbiu.lt//skelbimai/apple-macbook-pro-15-56807295.html
"Superku apple naujus,naudotus su defektais ir kita",929.99 €,Būklė: naudota,"VISA PARA!-DOMINA VISU GAMINTOJU IR MODELIU NAUJESNI ,KOMPIUTERIAI,PLANSETES, ZAIDIMU KOMPIUTERIAI,PRIEDAI,AKSESUARAI,TELEFONAI IR KITA TECHNIKA IVAIRIOS BUKLES.
pasiulimai telefonu,viber,telegram,signal,whatsapp
PRIVAZIUOJAME,GALIMA SIUNTIMU...","Panevėžys, ...",prieš 8 val.,https://skelbiu.lt//skelbimai/superku-apple-naujus-naudotus-su-defektais-ir-kita-46052755.html
"Superku apple naudotus,su defektais ir viska kitka",929.99 €,Būklė: naudota,"SUPERKU VISKA KAS TURI KOMESUPERKU VISKA KAS TURI KOMERCINE VERTE,jei rimtesni pasiulimai galiu atvykti visoj lietuvoj,del kainos tel.:865144444,
viber, email.:[email protected] IS KARTO arba nustacius defektus, domina dideli...","Ukmergės r., ...",prieš 8 val.,https://skelbiu.lt//skelbimai/superku-apple-naudotus-su-defektais-ir-viska-kitka-41605943.html
"Superkam Apple,hp,dell,acer ,Samsung ,ibm,f/s Ir",929.99 €,Būklė: naudota,"LOMBARDAI- VILNIUJE,KAUNE CHEMIJOS g.2  tel.863411112(PRIESAIS GIRSTUTI) SAVANORIU PR.263A,  TEL 864233330, PALUKANOS NUO 2%,TAISOME TELEFONUS,PLANSETES,KOMPIUTERIUS IR KITA-SUPERKAME VISKAS KAS TURI KOMERCINE VERTE,LOMBARDAS-PALUKANOS NUO 2%...","Kaunas, ...",prieš 8 val.,https://skelbiu.lt//skelbimai/superkam-apple-hp-dell-acer-samsung-ibm-f-s-ir-16962649.html
Nupirksiu nešiojamajį kompiuterį Apple,929.99 €,Būklė: naudota,"KAINA PRIKLAUSO NUO KOMPLEKTACIJOS, BŪKLĖS, PARAMETRŲ.

https://www.facebook.com/vingio29klaipeda/
Lombardas Klaipėdoje: 
Vingio g. 29, 
Klaipėda, tel. nr. +370 68308307 
Darbo laikas: 
I-V: 10:00-19:00
VI-VII: 10:00-17:30
Šalia RIMI parduotuvės...",Klaipėda,prieš 8 val.,https://skelbiu.lt//skelbimai/nupirksiu-nesiojamaji-kompiuteri-apple-20481173.html
title,price,condition,review,city,date,href
"MacBook pro 2013, retina A1502",280 €,Būklė: naudota,"Pilnai veikiantis pro, retina ekranas, nėra jokių išdegusių pikselių. Keli įbrėžimai ant korpuso, bet visumoj nebloga būklė. 128gb ssd, kiti parametrai matosi nuotraukoje. Parduodamas su originaliu krovikliu.",Kaunas,prieš 8 val.,https://skelbiu.lt//skelbimai/macbook-pro-2013-retina-a1502-56218415.html
MacBook Pro 13 2019 Touchbar,720 €,Būklė: naudota,"Parduodamas puikiai išlaikytas 2019 metų 13 colių Macbook Pro su touchbar (4 thunderbolt ports modelis).

8GB RAM, 256GB SSD, i5 keturių branduolių Intel procesorius. Baterija laiko puikiai, nepilnai 170 krovimo ciklų. Puikiai tinka studijoms...",Vilnius,prieš 8 val.,https://skelbiu.lt//skelbimai/macbook-pro-13-2019-touchbar-56861231.html
MacBook pro 13 late 2011 500gb,150 €,Būklė: naudota,"Puikiai veikiantis, naujai perrasytas, su puikiai veikiancia baterija. Parduodu nes atsinaujinau. Vienintelis defektas klaviaturos migtukas pamestas, bet veikia ir be jo paspaudimas, tik kosmetinis defektas. Norint galima isidet keli eurai jis. ...","Kaunas, ...",prieš 8 val.,https://skelbiu.lt//skelbimai/macbook-pro-13-late-2011-500gb-52424953.html
"MacBook Pro 2017 13""i5 8gb 256 SSD 117 ciklu",720 €,Būklė: naudota,"Kaip naujas (tik 117 krovimo ciklu) kompiuteris  visais priedais ir dezute.Neturi jokiu defektu.Korpuso bukle ideali.
Parametrai:
2,3 GHz Dual-Core Intel Core i5
8 GB 2133 MHz LPDDR3
256 GB SSD
13.3"" RETINA  2560x1600
Intel Iris Plus Graphics...","Kaunas, ...",prieš 8 val.,https://skelbiu.lt//skelbimai/macbook-pro-2017-13-i5-8gb-256-ssd-117-ciklu-56627783.html
Apple MacBook Pro 13 2018 Four i5 8gb 512 SSD,720 €,Būklė: naudota,"Puikios bukles,viskas veikia.Keturi portai,512 GB SSD, Touch Bar,tik 167 ciklai.Icloud atjungtas,parduodamas su originaliu pakroveju ir imaute.
Parametrai:
Macbook Pro(13-inch, 2018, Four Thunderbolt 3 Ports)
Procesorius - 2.3 Ghz Intel Core...","Kaunas, ...",prieš 8 val.,https://skelbiu.lt//skelbimai/apple-macbook-pro-13-2018-four-i5-8gb-512-ssd-56745351.html
MacBook Pro 13 2017 i5 8gb 256ssd Iris 640,660 €,Būklė: naudota,"Labai tvarkingas ir priziuretas kompiuteris.Veikia viskas gerai, mazai naudotas (365 ciklai).Parduodamas su originaliu pakroveju ir patogia imaute.
Parametrai:
Macbook Pro(13-inch, 2017, Two Thunderbolt 3 ports)
Procesorius - 2.3 Ghz Intel Core...","Kaunas, ...",prieš 8 val.,https://skelbiu.lt//skelbimai/macbook-pro-13-2017-i5-8gb-256ssd-iris-640-56653211.html
"Air (13-inch,mid 2014) i7 8gb 512ssd HD 5000",399 €,Būklė: naudota,"Labai tvarkingas,gaingiausios komplektacijos Macbook Air  13.3"" 2014 metu kompiuteris.Viskas veikia,parduodamas su originaliu pakroveju.
Parametrai:
-Intel Core i7 1,7GHz procesorius.
-8GB operatyvioji atmintis.
-512GB SSD diskas.
-Intel HD...","Kaunas, ...",prieš 8 val.,https://skelbiu.lt//skelbimai/air-13-inch-mid-2014-i7-8gb-512ssd-hd-5000-56655807.html
"MacBook Pro 13"" Retina i5 4gb 128ssd iris",369 €,Būklė: naudota,"Labai tvarkingas ir priziuretas kompiuteris,bukle gera,ekranas idealus(jokiu dangu nesilupa),angliska klaviatura,originalus pakrovejas.Nauja OS ,veikia idealiai,
Parametrai:
MacBook Pro 13 Retina Late-2013
CPU: 2,4 GHz Intel Core i5
RAM: 4GB
SSD...",Kaunas,prieš 8 val.,https://skelbiu.lt//skelbimai/macbook-pro-13-retina-i5-4gb-128ssd-iris-56278893.html
MacBook Pro 13-inch Mid 2012 i5 4gb 500gb,210 €,Būklė: naudota,"Labai tvarkingas,puikiai veikiantis kompiuteris.Bukle labai gera,parduodamas su originaliu pakroveju.
Galiu siusti i kita miesta.
Parametrai:
1. Ekranas 13,3 colio 1280 x 800 raiškos
2. 2,5 GHz Intel Core i5 procesorius
3. 4 GB 1600 MHz DDR3...","Kaunas, ...",prieš 8 val.,https://skelbiu.lt//skelbimai/macbook-pro-13-inch-mid-2012-i5-4gb-500gb-56531917.html
Apple MacBook Pro 13 i5+8gb.+SSD-naujas,285 €,Būklė: naudota,"Apple MacBook Pro 13 2011 Early geros buklės, įdėtas visiškai naujas SSD diskas 256 GB. su trijų metų garantija ir kompiuteris veikia labai greitai operacinė užsikrauna per kelias sekundes ir viskas spaudosi akimirksniu. Baterija labai gera....",Panevėžys,prieš 8 val.,https://skelbiu.lt//skelbimai/apple-macbook-pro-13-i5-8gb-ssd-naujas-56764557.html
MacBook pro 15 2015,750 €,Būklė: naudota,"Parduodu Macbook pro 15 2015 metų modelis 

i7 2.5ghz , 16gb ram , 512gb ssd , Amd radeon r9 m370x 2gb , Intel iris pro 

krovimo ciklų 499

kaina 750


visi kompiuteriai pilnai veikiantis 
su originaliu ikrovikliu",Vilnius,prieš 8 val.,https://skelbiu.lt//skelbimai/macbook-pro-15-2015-54193521.html
Perku MacBook Kompiuteri,8 €,Būklė: nauja,"Pastoviai Perku :
Macbook pro 13 , Macbook pro 15
, Macbook pro 16 
2015 , 2016 , 2017 , 2018 , 2019 , 2020
Macbook Air 13 2018 , Macbook Air 2019 , Macbook Air 13 2020
128gb , 256gb , 512gb 
i5 , i7 , i9
Macbook air m1 2020
Macbook pro...","Vilnius, ...",prieš 8 val.,https://skelbiu.lt//skelbimai/perku-macbook-kompiuteri-46962853.html
Apple pakrovejai 3vnt,8 €,Būklė: naudota,3vnt. Uz visus 20€. Galimas siuntimas.,Klaipėda,prieš 8 val.,https://skelbiu.lt//skelbimai/apple-pakrovejai-3vnt-56620105.html
Nori vizualiai atnaujinti savo 15 Obuolį (Apple)?,40 €,Būklė: naudota,"Apple 15 Pro. Model A1286.
Apatinis dangtis (kaip naujas) ir lipdukas viršutiniam dangčiui.
Ir tavo ""Obuolis"" kaip naujas!",Vilnius,prieš 8 val.,https://skelbiu.lt//skelbimai/nori-vizualiai-atnaujinti-savo-15-obuoli-apple-55416143.html
Perku MacBook air kompiuterius,320 €,Būklė: naudota,"Domina visi modeliai , gali būti su defektais, sudaužyti arba nepataisomi.",Vilnius,prieš 9 val.,https://skelbiu.lt//skelbimai/perku-macbook-air-kompiuterius-53441091.html
"MacBook Pro 13 retina 2014 i5-2,6ghz/8gb/120gb SSD",320 €,Būklė: naudota,Gerai veikaintis ir išlaikytas macbookas. Perašytas mac os. Komplekte originalus įkroviklis.,Vilnius,prieš 9 val.,https://skelbiu.lt//skelbimai/macbook-pro-13-retina-2014-i5-2-6ghz-8gb-120gb-ssd-56157751.html
Perku MacBook kompiuterius domina visi modeliai,999 €,Būklė: naudota,"Gali būti su defektais arba be ju, laukiu pasiūlymų. 
Jeigu nepakelčiau rašykite sms.",Vilnius,prieš 9 val.,https://skelbiu.lt//skelbimai/perku-macbook-kompiuterius-domina-visi-modeliai-52002357.html
MacBook Air 13 Apple M1 Naujas!,999 €,Būklė: nauja,"Naujas MacBook Air 13 Apple M1 8C CPU, 7C GPU/8GB/256GB SSD šiandien vos už 999 eur. (140 eur. nuolaida!) stiklex el. pardutuvėje. (https://www.stiklex.lt/macbook-air-13.) 

MacBook Air 13 Apple M1 8C CPU, 8C GPU/8GB/512GB SSD - kaina 1299 eur. ...",Vilnius,prieš 9 val.,https://skelbiu.lt//skelbimai/macbook-air-13-apple-m1-naujas-55889443.html
"MacBook Pro M1 512gb, Silver (2020) Naujas",1 200 €,Būklė: nauja,"Visiškai naujas, supakuotas, su tarptautine metų garantija.
2020. INT klav.
Kaina galutinė

https://www.ideal.lt/mac/macbook-pro-13/macbook-pro-13-3-retina-su-touch-bar-m1-8-core-cpu-8-core-gpu-8gb-512gb#134-24,167-19",Vilnius,prieš 9 val.,https://skelbiu.lt//skelbimai/macbook-pro-m1-512gb-silver-2020-naujas-56842265.html
"MacBook Pro M1 256gb, Silver (2020) Naujas",1 100 €,Būklė: nauja,"Visiškai naujas, supakuotas, su tarptautine metų garantija.
2020. INT klav.
Kaina galutinė

https://www.ideal.lt/mac/macbook-pro-13/macbook-pro-13-3-retina-su-touch-bar-m1-8-core-cpu-8-core-gpu-8gb-256gb#134-18,167-19",Vilnius,prieš 9 val.,https://skelbiu.lt//skelbimai/macbook-pro-m1-256gb-silver-2020-naujas-56842463.html
"MacBook Air 13.3"" M1, 512gb, Gold Naujas",990 €,Būklė: nauja,"Visiškai naujas, supakuotas, su tarptautine metų garantija.
2020. INT klav.
Kaina galutinė 

https://www.ideal.lt/mac/macbook-air/macbook-air-13-3-retina-m1-8-core-cpu-8-core-gpu-8gb-512gb#134-24,167-19",Vilnius,prieš 9 val.,https://skelbiu.lt//skelbimai/macbook-air-13-3-m1-512gb-gold-naujas-55545365.html
"MacBook Pro (Retina, 15-inch, Mid 2014)",600 €,Būklė: naudota,"Pakeista originali Apple baterija, šiuo metu 410 ciklų. Praeita baterija atlaikė iki 1200 ciklų. Pridėsiu ir prieš pusmetį pirktą originalų pakrovimo laidą. Nėra nei vieno įlenkimo, truputį pasitrynus atidarymo vieta. Viskas matosi nuotraukose....",Vilnius,prieš 9 val.,https://skelbiu.lt//skelbimai/macbook-pro-retina-15-inch-mid-2014-55530291.html
"MacBook Pro 13"", 2019m",750 €,Būklė: naudota,"Sveiki, parduodu macbook pro 13"", 2019m, 128ssd, retina, touch bar. Silver spalva, isorine bukle kaip naujas. A2159 modelis.",Šiauliai,prieš 9 val.,https://skelbiu.lt//skelbimai/macbook-pro-13-2019m-56765183.html
"Apple MacBook Pro 13"" (Early 2015)",489 €,Būklė: naudota,"Apple MacBook Pro 13"" (Early 2015)
2,7 GHz Intel Core i5
8GB 1867 MHz DDR3
256GB SSD
13.3"" Retina 2560x1600
Intel Iris Graphics 6100 1536MB
Battery Health 88% 464 ciklai
HDMI, Thunderbolt 2
Suteikiame garantiją!

https://procomp.lt/nesiojami...","Panevėžys, ...",prieš 9 val.,https://skelbiu.lt//skelbimai/apple-macbook-pro-13-early-2015-56815197.html
title,price,condition,review,city,date,href
MacBook Pro 13 early 2011,250 €,Būklė: naudota,"Puikiai veikiantis, prižiūrėtas MacBook Pro 13-inch Early 2011
Trūksta trijų guminių padukų ant dugno. 
Dugnas šiek tiek pabraižytas.
Originalus įkroviklis. 
CPU: Intel Core i5 2,3 GHz 
RAM: 16GB, SSD 127GB","Vilnius, ...",prieš 9 val.,https://skelbiu.lt//skelbimai/macbook-pro-13-early-2011-55343209.html
MacBook Air 2011,150 €,Būklė: naudota,"Processor: 1,7 GHz Intel Core i5.
Ram: 4GB DDR3.
SSD SATA M.2 250 GB.
iOS: macOS High Sierra
Version 10.13.
Ekranas: 13,3 coliu, (1440x900).

Daugiau pasiulymu: https://kamilsatkovski.wixsite.com/kompiuteriai",Vilnius,prieš 9 val.,https://skelbiu.lt//skelbimai/macbook-air-2011-56735793.html
"MacBook Pro 13"" 2017 128gb SSD 8 GB RAM",540 €,Būklė: naudota,"Pilnai veikiantis apple MacBook Pro 13. Modelis: A1708

Korpusas turi minimalių įbrėžimų ekranas gražus. Korpusas turi mažą įdaužimą dešiniame kampe. 

Specifikacijos:
395 įkrovimo ciklai
128GB SSD
8 GB Ram
Iris Plus Graphis
macOS Catalina

Su...",Kaunas,prieš 9 val.,https://skelbiu.lt//skelbimai/macbook-pro-13-2017-128gb-ssd-8-gb-ram-55282227.html
Naujas MacBook Pro 13 M1 8gb 256ssd Space Gray,1 150 €,Būklė: nauja,"Parduotuvė Market7 parduoda visiškai naują Apple Macbook Pro 13 su naujuoju M1 procesoriumi  MYD82ZE/A A2338 Space Gray

MacBook Pro 13.3"" SPG/8C CPU/8C GPU/8GB/256GB

8 branduolių „Apple M1“ lustas 
8GB RAM oper. atminties
256GB SSD...","Kaunas, ...",prieš 9 val.,https://skelbiu.lt//skelbimai/naujas-macbook-pro-13-m1-8gb-256ssd-space-gray-56335885.html
"Brangiai Apple MacBook Pro, Air, iMac supirkimas",770 €,Būklė: naudota,"Superku Apple nešiojamus kompiuterius. Gali būti ir nauji ir naudoti, veikiantys ir neveikiantys. Nupirkti galiu bet kada ir iškart vietoje skubiai. Galiu nupirkti didesnius kiekius. 
Vykdomas ir kitų gamintojų kompiuterių supirkimas (Asus, Acer...","Kaunas, ...",prieš 9 val.,https://skelbiu.lt//skelbimai/brangiai-apple-macbook-pro-air-imac-supirkimas-24265689.html
Apple MacBook Pro 15 2017 toucbar,770 €,Būklė: naudota,"Parduodu apple macbook pro 15 2017 metu 

Macbook Pro(15-inch, 2017)
Procesorius - 2.8 Ghz Quad-Core Intel Core i7
Atmintis - 16 GB 2133 Mhz LPDDR3
Kietasis Diskas - 256 SSD
Vaizdo plokste - Intel HD Graphics 630 1536 MB, Radeon Pro 555...","Biržų r., ...",prieš 9 val.,https://skelbiu.lt//skelbimai/apple-macbook-pro-15-2017-toucbar-56635771.html
Apple MacBook Air 13 i5 128 SSD 4gb 2015m,355 €,Būklė: naudota,"Parduodu mazai naudota l.gero stovio
Apple MacBook Air 13 i5 128 SSD 4gb 2015 m",Kaunas,prieš 9 val.,https://skelbiu.lt//skelbimai/apple-macbook-air-13-i5-128-ssd-4gb-2015m-56663673.html
"Parduodamas naudotas MacBook Air 13 2018, 128gb",599 €,Būklė: naudota,"Parduodamas naudotas, tačiau puikios būklės 2018 Macbook Air (Retina 13-inch, 2018) kompiuteris, 128gb.

Išsamios specifikacijos nuotraukoje.

Veikia puikiai, ekranas, klaviatūra, jungtys nepažeistos. Pats korpusas turi naudojimo žymių,...",Vilnius,prieš 9 val.,https://skelbiu.lt//skelbimai/parduodamas-naudotas-macbook-air-13-2018-128gb-53097925.html
Perku MacBook kompiuterius 2010-2021 metų,1 200 €,Būklė: nauja,"Perku Macbook kompiuterius domina visi variantai, nauji, naudoti, su defektais, daužti.
macbook pro 13
macbook pro 15
macbook pro 16
 macbook air 13
macbook air 11
 macbook 12",Vilnius,prieš 9 val.,https://skelbiu.lt//skelbimai/perku-macbook-kompiuterius-2010-2021-metu-56541211.html
"Superkame naujus, naudotus Apple kompiuterius",1 200 €,Būklė: naudota,"ISPARDUOTUVES-LOMBARDAI KAUNE,VILNIUJE (NAUJAS)SAVANORIU PR.263A, TEL 864233330, CHEMIJOS g.2 tel.864211110 PRIESAIS GIRSTUTI PALUKANOS NUO 2%,TAISOME TELEFONUS,PLANSETES,KOMPIUTERIUS IR KITA-SUPERKAME VISKAS KAS TURI KOMERCINE VERTE,LOMBARDAS...","Kaunas, ...",prieš 9 val.,https://skelbiu.lt//skelbimai/superkame-naujus-naudotus-apple-kompiuterius-45909135.html
"Superkame naujus, naudotus Apple kompiuterius",1 200 €,Būklė: naudota,"ISPARDUOTUVES-LOMBARDAI KAUNE,VILNIUJE (NAUJAS)SAVANORIU PR.263A, TEL 864233330, CHEMIJOS g.2 tel.864211110 PRIESAIS GIRSTUTI PALUKANOS NUO 2%,TAISOME TELEFONUS,PLANSETES,KOMPIUTERIUS IR KITA-SUPERKAME VISKAS KAS TURI KOMERCINE VERTE,LOMBARDAS...","Kaunas, ...",prieš 9 val.,https://skelbiu.lt//skelbimai/superkame-naujus-naudotus-apple-kompiuterius-45974031.html
"Superkame naujus, naudotus Apple kompiuterius",1 200 €,Būklė: naudota,"ISPARDUOTUVES-LOMBARDAI KAUNE,VILNIUJE (NAUJAS)SAVANORIU PR.263A,  TEL 864233330,  CHEMIJOS g.2  tel.864211110 PRIESAIS GIRSTUTI PALUKANOS NUO 2%,TAISOME TELEFONUS,PLANSETES,KOMPIUTERIUS IR KITA-SUPERKAME VISKAS KAS TURI KOMERCINE VERTE...","Jonavos r., ...",prieš 9 val.,https://skelbiu.lt//skelbimai/superkame-naujus-naudotus-apple-kompiuterius-33938591.html
"Superkame naujus, naudotus Apple kompiuterius",1 200 €,Būklė: naudota,"ISPARDUOTUVES-LOMBARDAI KAUNE,VILNIUJE (NAUJAS)SAVANORIU PR.263A, TEL 864233330, CHEMIJOS g.2 tel.864211110 PRIESAIS GIRSTUTI PALUKANOS NUO 2%,TAISOME TELEFONUS,PLANSETES,KOMPIUTERIUS IR KITA-SUPERKAME VISKAS KAS TURI KOMERCINE VERTE,LOMBARDAS...","Kaunas, ...",prieš 9 val.,https://skelbiu.lt//skelbimai/superkame-naujus-naudotus-apple-kompiuterius-32455861.html
"MacBook Air 13-inch Retina, 16gb, 512gb, late 2018",1 200 €,Būklė: naudota,"Parduodu 2019 balandžio gale Amerikoje pirktą 13-os colių MacBook Air su Retina ekranu ir NESTANDARTINE KONFIGURACIJA (16GB RAM, 512GB SSD).

Kompiuteris prižiūrėtas, naudotas su dėklu, tad atrodo ir veikia kaip naujas. Pirkdamas maniau, kad...",Vilnius,prieš 9 val.,https://skelbiu.lt//skelbimai/macbook-air-13-inch-retina-16gb-512gb-late-2018-52025083.html
MacBook Pro nešiojamasis kompiuteris,400 €,Būklė: naudota,"Maloniai kviečiame apsilankyti mūsų Lombarde, kuris įsikūręs Lyros g. 13, Šiauliai, apžiūrėti akį traukiančių aukso ir sidabro gaminių mažiausiomis kainomis, siunčiame į visus Lietuvos miestus. Tel. Nr. 860997481
P.S.Jei Jums pritrūko pinigų,...",Šiauliai,prieš 10 val.,https://skelbiu.lt//skelbimai/macbook-pro-nesiojamasis-kompiuteris-54176131.html
Nešiojamas kompiuteris MacBook Air.,320 €,Būklė: naudota,"Maloniai kviečiame apsilankyti mūsų Lombarde, kuris įsikūręs Lyros g. 13, Šiauliai, apžiūrėti akį traukiančių aukso ir sidabro gaminių mažiausiomis kainomis, siunčiame į visus Lietuvos miestus. Tel. Nr. 860997481
P.S.Jei Jums pritrūko pinigų,...",Šiauliai,prieš 10 val.,https://skelbiu.lt//skelbimai/nesiojamas-kompiuteris-macbook-air-54176155.html
Perkame Apple MacBook kompiuterius,350 €,Būklė: naudota,"Perkame naujus ir naudotus Apple Macbook nešiojamus kompiuterius.

Kaina priklauso nuo kompiuterio būklės, specifikacijų ir garantijos buvimo/komplekto.

Domina ir kiti Apple produktai.

Stengiamės pateikti geriausią kainą nei internetinės...",Vilnius,prieš 10 val.,https://skelbiu.lt//skelbimai/perkame-apple-macbook-kompiuterius-55973715.html
"Apple MacBook Air A1466 13"", garantija",350 €,Būklė: naudota,"Sveiki, parduodu Apple MacBook Air A1466 (13-inch, Mid 2013). Įdėta nauja kokybiška baterija. Švariai įdiegta macOS Mojave operacinė sistema, paruošta naujam vartotojui. Prie kompiuterio pridedamas originalus įkroviklis. Suteikiama 90 dienų...","Kaunas, ...",prieš 10 val.,https://skelbiu.lt//skelbimai/apple-macbook-air-a1466-13-garantija-55659987.html
"Apple MacBook Air 13"", i7, 256 SSD",220 €,Būklė: naudota,"Sveiki, parduodu geros kosmetinės būklės, Apple MacBook Air A1369 (13-inch, Mid 2011). Modelis su galingesniu i7 procesoriumi, taip pat yra talpesnis, 256 GB SSD diskas. Švariai įdiegta macOS High Sierra operacinė sistema, paruošta naujam...","Kaunas, ...",prieš 10 val.,https://skelbiu.lt//skelbimai/apple-macbook-air-13-i7-256-ssd-56626743.html
Apple MacBook Air A1466 2015 Early dalimis,180 €,Būklė: naudota,"Sveiki, parduodu Apple MacBook Air A1466 (13-inch, Early 2015) dalimis.  Yra ir kitų Apple kompiuterių dalių. Jei turite klausimų dėl dalių, kainų, ar remonto paslaugų - galite susisiekti bet kuriuo Jums patogiu būdu.

Teikiu Apple produkcijos...","Kaunas, ...",prieš 10 val.,https://skelbiu.lt//skelbimai/apple-macbook-air-a1466-2015-early-dalimis-32716409.html
Apple MacBook Pro A1502 Retina Mid 2014 dalimis,340 €,Būklė: naudota,"Sveiki, parduodu Apple MacBook Pro A1502 (Retina, 13-inch, Mid 2014) dalimis. Yra ir kitų Apple kompiuterių dalių. Jei turite klausimų dėl dalių, kainų, ar remonto paslaugų - galite susisiekti bet kuriuo Jums patogiu būdu. 

Teikiu Apple...","Kaunas, ...",prieš 10 val.,https://skelbiu.lt//skelbimai/apple-macbook-pro-a1502-retina-mid-2014-dalimis-32716491.html
"Superku Apple MacBook Pro A1398, 2012-2015",340 €,Būklė: naudota,"Sveiki, superku veikiančius ir neveikiančius 15 colių įstrižainės Apple MacBook Pro A1398 kompiuterius. Didžiausią pinigų sumą galėčiau pasiūlyti, jei įrenginį galėčiau apžiūrėti ir įvertinti gyvai. Domina ir dideli kiekiai. Superku ir kitus...","Kaunas, ...",prieš 10 val.,https://skelbiu.lt//skelbimai/superku-apple-macbook-pro-a1398-2012-2015-51614431.html
"Apple MacBook Air 11"", 2014, garantija",340 €,Būklė: naudota,"Sveiki, parduodu Apple MacBook Air A1465 (11-inch, Early 2014). Švariai įdiegta macOS Mojave operacinė sistema, paruošta naujam vartotojui. Prie kompiuterio pridedamas originalus įkroviklis. Suteikiama 90 dienų raštiška garantija.

Yra ir...","Kaunas, ...",prieš 10 val.,https://skelbiu.lt//skelbimai/apple-macbook-air-11-2014-garantija-53497345.html
"Apple MacBook Pro A1278, i7, 240 SSD, garantija",270 €,Būklė: naudota,"Sveiki, parduodu Apple MacBook Pro A1278 (13-inch, Early 2011). Sparčiai veikia dėl įdėto 240 GB talpos SSD disko ir galingesnio i7 procesoriaus. Praplėsta operatyvioji atmintis iki 8 GB. Korpusas turi įlenkimų ir suraižymų. Švariai įdiegta...","Kaunas, ...",prieš 10 val.,https://skelbiu.lt//skelbimai/apple-macbook-pro-a1278-i7-240-ssd-garantija-55659511.html
title,price,condition,review,city,date,href
Apple MacBook Pro A1502 Retina Mid 2014 dalimis,49 €,Būklė: naudota,"Sveiki, dalimis parduodu Apple MacBook Pro (Retina, 13-inch, Mid 2014). 

Kompiuterio ekranas sudaužytas, nėra SSD, apatinis dangtis taip pat sulankstytas. Yra veikianti motininė plokštė, baterija bei kitos smulkios dalys. Kainos sutartinės,...","Kaunas, ...",prieš 10 val.,https://skelbiu.lt//skelbimai/apple-macbook-pro-a1502-retina-mid-2014-dalimis-31296847.html
Apple MacBook Air A1466 Mid 2013 dalimis,80 €,Būklė: naudota,"Sveiki, dalimis parduodu Apple MacBook Air A1466 (13-inch, Mid 2013). 

Šis skelbimas yra bendro pobūdžio, yra daugiau ardomų tokio modelio kompiuterių. Jei kažko ieškote susisiekite ir atsakysiu ar tuo metu tokią detalę turiu.

Turiu ir kitų...","Kaunas, ...",prieš 10 val.,https://skelbiu.lt//skelbimai/apple-macbook-air-a1466-mid-2013-dalimis-31297047.html
